OpInt [X] 129;Perf [Y] 129
1.081382;0.514027
2.965753;1.353593
3.481602;1.727892
4.590213;1.939532
1.351915;1.991187
1.506728;2.109202
1.296318;2.175117
2.157471;2.220642
1.922612;2.132923
1.820143;2.109875
1.632992;2.090332
1.311499;2.050998
1.088906;2.054410
0.910268;2.054071
0.734658;2.014232
0.681697;1.996666
0.700413;2.001693
0.658612;1.981305
0.623658;1.982787
0.600964;1.959274
