OpInt [X] 000;Perf [Y] 000
0.569339;0.258235
0.208860;0.417711
0.274607;0.403151
0.289372;0.454476
0.525699;0.471699
0.569860;0.441688
0.532901;0.415983
0.461971;0.392490
0.538995;0.378058
0.461162;0.355944
0.382716;0.333802
0.332847;0.309551
0.311900;0.312439
0.284014;0.303721
0.280993;0.299914
0.267335;0.297365
0.268524;0.292908
0.257467;0.293424
0.271649;0.294099
0.265160;0.292592
