OpInt [X] 117;Perf [Y] 117
1.451963;0.786505
1.661806;0.797508
1.732972;0.802534
1.424583;0.805092
1.017961;0.800402
0.792965;0.800209
0.672078;0.797787
0.592239;0.799613
0.492195;0.799281
0.485633;0.799406
0.469965;0.797684
0.459714;0.798249
0.441102;0.798408
0.425581;0.799847
