OpInt [X] 142;Perf [Y] 142
2.315658;1.624048
2.757265;1.706484
2.022734;1.698520
1.557870;1.671326
1.152319;1.651780
0.906537;1.637678
0.677772;1.629896
0.595248;1.613525
0.526297;1.602373
0.476879;1.608679
0.429829;1.606638
0.418276;1.602526
0.398195;1.652541
0.379933;1.650508
