OpInt [X] 143;Perf [Y] 143
2.511544;1.824712
3.192731;1.923689
2.512359;1.871806
1.655124;1.834108
1.311992;1.805987
1.004446;1.787157
0.820518;1.773113
0.647684;1.757569
0.553275;1.723722
0.538214;1.731816
0.490945;1.717825
0.477802;1.740036
0.450142;1.755033
0.435787;1.744389
